1024, 0.000645, 0.003017, 0.001271, 900, 900, 900
2048, 0.004384, 0.007761, 0.009863, 1700, 1700, 1700
4096, 0.006034, 0.016085, 0.037766, 3400, 3400, 3400
8192, 0.010649, 0.026330, 0.097396, 6700, 6700, 6700
16384, 0.019756, 0.062369, 0.207317, 12185, 13500, 12681
32768, 0.023270, 0.106348, 0.240898, 13524, 26800, 14460
65536, 0.026114, 0.192356, 0.257106, 14536, 53152, 16644
131072, 0.034679, 0.368930, 0.301346, 19928, 103228, 18498
262144, 0.040908, 0.801737, 0.371467, 23032, 210069, 23376
524288, 0.050133, 1.618929, 0.480477, 27693, 402344, 28437
